sOccupation,cJobTitle
221,Camera Operator (Television)
221,Camera Operator (Video)
350,Camera Repairer
36,Camp Site Manager
260,Camp Warden
436,Canal Or Port Lock-Keeper
399,Candle Maker (Machine)
358,"Candle, Handicraft Maker"
447,Cane  Planter
456,Cannery Hand
128,Canon
282,Canteen Attendant (Food Service)
33,Canteen Manager
187,Canvasser
280,Canvassing On Telephone Salesperson
380,Cap Maker
302,Caponizer
381,Caps Patternmaker
34,Car Dealer (Managing And Supervising Staff)
443,Car Detailer
430,Car Driver
464,Car Guard
283,Car Hire Salesperson
476,Car Park Attendant
430,Car Park Attendant (Driving Cars)
274,Car Salesperson
443,Car Washer
443,Caravan Detailer
36,Caravan Park Manager
396,Carbonation Equipment Operator (Metal)
414,Carbonation Equipment Operator (Sugar Refining)
371,Carcass Splitter
426,Cardboard Products Assembler
430,Car-Delivery Driver
65,Cardiologist
65,Cardiology Doctor
65,Cardiology Registrar
65,Cardiology Surgeon
65,Cardiothoracic Surgeon
209,Cards Player
27,Care Manager (Aged Care Facility)
27,Care Manager (Nursing Home)
25,Care Manager (Out Of School Hours)
102,Careers Adviser
190,Cargo Broker
132,Caricaturist
298,Carnation Grower
322,Carpenter
322,Carpenter-Joiner
454,Carpenter's Assistant
454,Carpenter's Mate
445,Carpet Cleaner
445,Carpet Cleaning Technician
445,Carpet Dry-Cleaner
325,Carpet Layer
357,Carpet Maker
357,Carpet Weaver
357,Carpet Weaving Tufter
357,Carpet-Maker
61,Cartographer
145,Cartographical Draughtsperson
132,Cartoonist
378,Cartwright
379,Carving Machine Setter-Operator (Woodworking)
275,Cash Desk Cashier
239,Cash-Accounting Clerk
35,Casino Manager
378,Cask Maker
343,Cast Metal Articles Finisher
135,Casting Director
361,Casting Machine Setter-Operator (Printing Type)
301,Cat Breeder
164,Cat Scan Technologist
122,Cataloguer
44,Catchment Coordinator (Environment)
44,Catchment Management Officer
33,Catering Manager
301,Cattle Breeder
301,Cattle Farmer
301,Cattle Farmer (Market Production)
314,Cattle Farmer (Subsistence)
301,Cattle Raiser
448,Cattle Station Labourer
42,Cell Geneticist
473,Cellar Attendant (Hotel)
473,Cellar Attendant (Restaurant)
473,Cellar Hand (Hotel)
473,Cellar Hand (Restaurant)
456,Cellar Hand (Wine Production)
133,Cellist
321,Cement Finisher
152,Cement Production Plant Operator
52,Cement Technologist
450,Cemetery Labourer (Gardening)
154,Central Control Caster
27,Centre Manager (Aged Care)
25,Centre Manager (Childcare)
28,Centre Manager (Welfare Services)
399,Centrifugal Separator Operator (Chemical And Related Processes)
477,Ceo
132,Ceramic Artist
353,Ceramics Burnisher
355,Ceramics Decoration Stenciller
355,Ceramics Decoration Toucher-Up
355,Ceramics Decoration Tracer
355,Ceramics Decoration Transferrer
355,Ceramics Decorator
353,Ceramics Dipper
355,Ceramics Enameller
52,Ceramics Engineer
52,Ceramics Technologist
296,Cereal Farmer
296,Cereal Farmer (Market Production)
313,Cereal Farmer (Subsistence Farming)
296,Cereal Grower
96,Certified Accountant
10,Cfo
34,Chain Store Manager
378,Chair Maker
436,Chair-Lift Operator
441,Chamber Maid
441,Chambermaid
6,Chancery Head
227,Change-Booth Cashier
128,Chaplain
306,Charcoal Burner
67,Charge Nurse
8,Charity Chairperson
230,Charity Collector
34,Charity Shop Manager
96,Chartered Accountant
161,Check Pilot
231,Check-In Agent
231,Check-In Attendant (Airline)
231,Check-In Clerk (Airport)
275,Checkout Attendant
275,Check-Out Cashier (Self-Service Store)
275,Checkout Operator
273,Checkout Supervisor
373,Cheese Maker
414,Cheese Salter
215,Chef
215,Chef De Cuisine
152,Chemical And Related Processing Plant Operator
50,Chemical Engineer
